"","time","status","condition","subject","acceleration"
"520",73,"S","VAN","subject 4",1.206042
"521",74,"S","VAN","subject 4",-0.681241
"522",75,"S","VAN","subject 4",-0.586538
"523",76,"NS","VAN","subject 4",0.046131
"524",77,"NS","VAN","subject 4",-0.04832
"525",78,"NS","VAN","subject 4",0.075465
"526",79,"NS","VAN","subject 4",0.868173
"527",80,"NS","VAN","subject 4",2.96578
"528",81,"S","VAN","subject 4",4.37862
"529",82,"S","VAN","subject 4",2.79576
"530",83,"S","VAN","subject 4",-4.80475
"531",84,"S","VAN","subject 4",-5.04167
"532",85,"S","VAN","subject 4",-0.24948
"533",86,"NS","VAN","subject 4",0.03129
"534",87,"NS","VAN","subject 4",0.0131299999999999
"535",88,"NS","VAN","subject 4",1.38148
"536",89,"NS","VAN","subject 4",2.3223
"537",90,"NS","VAN","subject 4",4.69352
"538",91,"S","VAN","subject 4",0.0288699999999995
"539",92,"S","VAN","subject 4",8.94851
"540",93,"S","VAN","subject 4",2.1023
"541",94,"S","VAN","subject 4",-2.797
"542",95,"S","VAN","subject 4",-3.6108
"543",96,"NS","VAN","subject 4",-9.40396
"544",97,"NS","VAN","subject 4",2.62017
"545",98,"NS","VAN","subject 4",NA
"546",99,"NS","VAN","subject 4",NA
"547",100,"NS","VAN","subject 4",NA
"548",101,"S","VAN","subject 4",NA
"549",102,"S","VAN","subject 4",NA
"550",103,"S","VAN","subject 4",NA
"551",104,"S","VAN","subject 4",NA
"552",105,"S","VAN","subject 4",NA
"553",106,"NS","VAN","subject 4",NA
"554",107,"NS","VAN","subject 4",NA
"555",108,"NS","VAN","subject 4",NA
"556",109,"NS","VAN","subject 4",NA
"557",110,"NS","VAN","subject 4",NA
"558",111,"S","VAN","subject 4",NA
"559",112,"S","VAN","subject 4",NA
"560",113,"S","VAN","subject 4",NA
"561",114,"S","VAN","subject 4",NA
"562",115,"S","VAN","subject 4",NA
"563",116,"NS","VAN","subject 4",NA
"564",117,"NS","VAN","subject 4",NA
"565",118,"NS","VAN","subject 4",NA
"566",119,"NS","VAN","subject 4",NA
"567",120,"NS","VAN","subject 4",NA
"568",121,"S","VAN","subject 4",NA
"569",122,"S","VAN","subject 4",NA
"570",123,"S","VAN","subject 4",NA
"571",124,"S","VAN","subject 4",NA
"572",125,"S","VAN","subject 4",NA
"573",126,"NS","VAN","subject 4",NA
"574",127,"NS","VAN","subject 4",NA
"575",128,"NS","VAN","subject 4",NA
"576",129,"NS","VAN","subject 4",NA
"577",130,"NS","VAN","subject 4",NA
"578",131,"S","VAN","subject 4",NA
"579",132,"S","VAN","subject 4",NA
"580",133,"S","VAN","subject 4",NA
"581",134,"S","VAN","subject 4",NA
"582",135,"S","VAN","subject 4",NA
"583",136,"NS","VAN","subject 4",NA
"584",137,"NS","VAN","subject 4",NA
"585",138,"NS","VAN","subject 4",NA
"586",139,"NS","VAN","subject 4",NA
"587",140,"NS","VAN","subject 4",NA
"588",141,"S","VAN","subject 4",NA
"589",142,"S","VAN","subject 4",NA
"590",143,"S","VAN","subject 4",NA
"591",144,"S","VAN","subject 4",NA
"592",145,"S","VAN","subject 4",NA
"593",146,"NS","VAN","subject 4",NA
"594",147,"NS","VAN","subject 4",NA
"595",148,"NS","VAN","subject 4",NA
"596",149,"NS","VAN","subject 4",NA
"597",1,"S","VAN","subject 5",-18.68527
"598",2,"S","VAN","subject 5",-3.78734
"599",3,"S","VAN","subject 5",-2.24435
"600",4,"S","VAN","subject 5",0.188107
"601",5,"S","VAN","subject 5",0.791643
"602",6,"NS","VAN","subject 5",-0.23697
"603",7,"NS","VAN","subject 5",1.06815
"604",8,"NS","VAN","subject 5",1.22499
"605",9,"NS","VAN","subject 5",2.77169
"606",10,"NS","VAN","subject 5",6.36915
"607",11,"S","VAN","subject 5",-3.53464
"608",12,"S","VAN","subject 5",-4.92726
"609",13,"S","VAN","subject 5",-3.15005
"610",14,"S","VAN","subject 5",-0.557679
"611",15,"S","VAN","subject 5",0.566189
"612",16,"NS","VAN","subject 5",-0.00506000000000006
"613",17,"NS","VAN","subject 5",0.82893
"614",18,"NS","VAN","subject 5",-0.60931
"615",19,"NS","VAN","subject 5",-0.512971
"616",20,"NS","VAN","subject 5",2.076121
"617",21,"S","VAN","subject 5",3.84021
"618",22,"S","VAN","subject 5",5.53742
"619",23,"S","VAN","subject 5",-3.55033
"620",24,"S","VAN","subject 5",-4.85981
"621",25,"S","VAN","subject 5",-2.90755
"622",26,"NS","VAN","subject 5",2.79543
"623",27,"NS","VAN","subject 5",8.46286
"624",28,"NS","VAN","subject 5",1.4864
"625",29,"NS","VAN","subject 5",7.2214
"626",30,"NS","VAN","subject 5",-2.9705
"627",31,"S","VAN","subject 5",-5.5552
"628",32,"S","VAN","subject 5",-2.80567
"629",33,"S","VAN","subject 5",-5.91752
